Id,Start,Name,Impact,Currency
d49f33cf-2681-45cd-a84a-eaec36990224,04/02/2025 12:15:00,ADP Employment Change,HIGH,USD
6f190f69-c28e-4e5b-a06a-0f0f973e74f0,04/02/2025 20:00:00,US Liberation Day Tariff Announcements,HIGH,USD
583617c1-e251-44b6-a5d7-28abdfb3f9ed,04/03/2025 14:00:00,ISM Services PMI,HIGH,USD
33d40b59-9348-4b23-8073-e6d02cb460f1,04/04/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
2fbd6d01-1429-4f67-a7ee-f7ddcc43a762,04/04/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
1c3d34b9-0f03-47ed-8d69-a690ad5e724d,04/04/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
6ce75085-9e5a-4d95-b47d-6787bf966b58,04/04/2025 15:25:00,Fed's Chair Powell speech,HIGH,USD
2fcca8b1-8b6b-4131-8cec-81541d19da93,04/09/2025 18:00:00,FOMC Minutes,HIGH,USD
27dc242f-f0e5-406c-816b-8ac902a7c9e6,04/10/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
de1544ba-a828-4e84-bdb8-e5430f083dfa,04/10/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
06d66d33-72a3-4860-a5ec-7d7787e56355,04/10/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
b663e7c1-4264-46a8-97aa-bec49e52a1bf,04/10/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
76392152-e156-4f91-b579-d7ce615dac5d,04/11/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
ed5bdd60-f8b1-456f-9dfc-08352914417e,04/11/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
871dcf65-25c1-4935-89d3-cd4bda7385cb,04/16/2025 12:30:00,Retail Sales (MoM),HIGH,USD
7ab9cbc7-3a7a-4105-af70-68bf12491090,04/16/2025 12:30:00,Retail Sales Control Group,HIGH,USD
aab5e281-ef02-46e6-b66d-0702b83e6626,04/16/2025 17:30:00,Fed's Chair Powell speech,HIGH,USD
52409f2b-7e55-4c32-8289-430c2f7bc14d,04/23/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
03baa42e-ffc5-4aa4-a886-c7fe58285325,04/23/2025 13:45:00,S&P Global Services PMI,HIGH,USD
c3d24c5c-b73d-40a6-bdba-2ac215dcc6d1,04/30/2025 12:15:00,ADP Employment Change,HIGH,USD
87ee4d44-7044-4d7e-b7f5-548a4ff4f305,04/30/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
037a44ce-80dc-45f8-a5b5-90fb94786dda,04/30/2025 14:00:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
dcfd4812-cd67-40f4-acaf-ae9b22d446f7,04/30/2025 14:00:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
3fe70923-fb00-4d37-b5b3-eb9004a60a42,04/30/2025 15:00:00,President Trump speech,HIGH,USD
c80e0017-05ad-44ac-9ff5-6e5e8c0f57be,04/30/2025 20:00:00,President Trump speech,HIGH,USD
9861bee4-c023-41e0-955c-da9f7803f6e9,05/01/2025 00:00:00,President Trump speech,HIGH,USD
09344611-98c3-4a4a-ad35-936b8fd0d298,05/01/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
337c3baa-3778-4716-98e7-5f48d5efe5d5,05/02/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
7758fa4c-649f-4802-94c9-b9139ee5212f,05/02/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
f2b921de-3da4-4680-b53b-01b6e92d6ca8,05/02/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
9f157f6c-b30c-4ad0-bb3a-55df64950528,05/05/2025 14:00:00,ISM Services PMI,HIGH,USD
122d3205-cf67-426b-9bd6-eeadc622b932,05/07/2025 18:00:00,Fed Interest Rate Decision,HIGH,USD
1ca62fc3-cbc5-4b12-a52e-ce0a2cb41723,05/07/2025 18:00:00,Fed Monetary Policy Statement,HIGH,USD
bf8aef80-985e-418d-a9d5-4f38499ecd00,05/07/2025 18:30:00,FOMC Press Conference,HIGH,USD
8e98b274-703f-44b8-9013-af0ddea103c2,05/08/2025 14:00:00,President Trump speech,HIGH,USD
10bbe41b-63c5-4849-8c69-1efd65ac7f9d,05/13/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
fa06e983-edb9-49a4-a9ac-2f63dfca0b3b,05/13/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
1af11194-e852-483f-87e6-1ae3b42d0999,05/13/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
369c5e01-8505-4192-8a34-3c9bdd441e7f,05/13/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
d94bd76d-5879-4921-abb1-3ac3abeb2d2b,05/15/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
f50ff4f6-4935-4ec0-b467-9a4ae4bfbfd0,05/15/2025 12:30:00,Retail Sales (MoM),HIGH,USD
1384029d-7824-4c40-b899-00c5009ac6cb,05/15/2025 12:30:00,Retail Sales Control Group,HIGH,USD
f7589430-ab61-4c76-a781-bb1f633e908a,05/15/2025 12:40:00,Fed's Chair Powell speech,HIGH,USD
f2fdf060-785d-422c-b927-dfa26f0141a4,05/16/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
755bd761-b252-4421-af78-8798dada8882,05/22/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
acc0f86c-60e4-4b78-bf66-fdc5c9c2a12a,05/22/2025 13:45:00,S&P Global Services PMI,HIGH,USD
d9889632-f059-4e46-a1fc-9c996306330c,05/25/2025 18:40:00,Fed's Chair Powell speech,HIGH,USD
e3568b5b-a7f9-447c-a271-75d712ea405e,05/28/2025 18:00:00,FOMC Minutes,HIGH,USD
c8c102f8-5a75-4bc8-ac49-d001899a9eb1,05/29/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
dc4e2316-e4e2-41ba-812c-4344f9c69c53,05/30/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
86a936fa-5179-440c-8483-66a2765086cd,05/30/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
321946df-e94b-4f01-9930-87a18432df1d,06/02/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
6106889d-6d59-4ee3-aa3a-73103a3c680d,06/02/2025 17:00:00,Fed's Chair Powell speech,HIGH,USD
eeb1fd26-e46f-4663-ab16-ef2e638c9c60,06/04/2025 12:15:00,ADP Employment Change,HIGH,USD
c4617a64-3cb8-4b9b-8ac1-88deca24d830,06/04/2025 14:00:00,ISM Services PMI,HIGH,USD
4c107ae6-c9ec-4fb2-8f0b-8aaf1dc7ca87,06/06/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
f5effcee-6bc8-4ffb-9dc2-380fea8596c9,06/06/2025 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
5c5f092e-e40f-441f-8627-9e9caaf6581c,06/06/2025 12:30:00,Nonfarm Payrolls,HIGH,USD
1c8edf49-eac9-4b03-b9df-1159a8b5a031,06/11/2025 12:30:00,Consumer Price Index (MoM),HIGH,USD
b82ecd0c-8259-46e6-9295-2421788a0844,06/11/2025 12:30:00,Consumer Price Index (YoY),HIGH,USD
8a6493f2-77b9-4c59-a8ae-b098038f5616,06/11/2025 12:30:00,Consumer Price Index ex Food & Energy (MoM),HIGH,USD
f6358f56-380e-4b74-956d-a395a324bf9a,06/11/2025 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
68f364d7-a36e-4c5c-aa54-824da074472d,06/12/2025 12:30:00,Producer Price Index ex Food & Energy (YoY),HIGH,USD
622ccdc1-3c38-4da5-a9fd-225387dbfb0d,06/13/2025 14:00:00,Michigan Consumer Sentiment Index,HIGH,USD
607b3353-244c-4b39-b6da-9590947eb13f,06/17/2025 12:30:00,Retail Sales (MoM),HIGH,USD
e0527bf4-bf4f-4bd8-a0c5-ebae9cb3ed8f,06/17/2025 12:30:00,Retail Sales Control Group,HIGH,USD
7bf0e98d-ff60-4e05-9d68-3c6c17f65e62,06/18/2025 18:00:00,Fed Interest Rate Decision,HIGH,USD
7f5e355a-c11b-4cd7-b903-9cb651b637c0,06/18/2025 18:00:00,Fed Monetary Policy Statement,HIGH,USD
410e5724-5f68-4b7a-ac33-facf30b89596,06/18/2025 18:00:00,FOMC Economic Projections,HIGH,USD
36f23aaf-de77-4f5e-a296-ad2e2c42ee85,06/18/2025 18:00:00,Interest Rate Projections - 1st year,HIGH,USD
15e974db-77e8-421c-9306-698da4e58f43,06/18/2025 18:00:00,Interest Rate Projections - 2nd year,HIGH,USD
db1eb0ef-f836-4e2c-b3b5-baf72abfde00,06/18/2025 18:00:00,Interest Rate Projections - Current,HIGH,USD
81edf129-099d-444f-acff-ca3e8ef980bc,06/18/2025 18:00:00,Interest Rate Projections - Longer,HIGH,USD
82629cc1-ecc0-46e2-85c4-5996e2b1a0ef,06/18/2025 18:30:00,FOMC Press Conference,HIGH,USD
98d5d77d-4113-419f-bcf4-c26f7fe6ac83,06/23/2025 13:45:00,S&P Global Manufacturing PMI,HIGH,USD
74ec6ab2-ac08-4e7d-ad10-b80ded71e0b1,06/23/2025 13:45:00,S&P Global Services PMI,HIGH,USD
c0e8bb65-362f-4e24-9533-2a852a3d9cde,06/24/2025 14:00:00,Fed's Chair Powell testifies,HIGH,USD
22544154-5c58-4c34-9926-f69b8aa1cb55,06/25/2025 14:00:00,Fed's Chair Powell testifies,HIGH,USD
0282a858-4ec9-498f-a5db-5bc62b6d1a4a,06/26/2025 12:30:00,Gross Domestic Product Annualized,HIGH,USD
9764d47d-5bfb-4d78-af18-e886d55f2404,06/27/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
d2eb1de2-579d-45dc-98c3-af20a0185713,06/27/2025 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
4f13e19e-0164-4fe4-821c-9593b5762963,06/27/2025 20:30:00,Bank Stress Test Results,HIGH,USD
2febcffa-f9be-425d-8e0e-819d27811ebe,07/01/2025 13:30:00,Fed's Chair Powell speech,HIGH,USD
a0869893-31fc-40c0-80ae-6a19e45accd9,07/01/2025 14:00:00,ISM Manufacturing PMI,HIGH,USD
f836dfe2-7b29-4abd-96b4-6f7af47ac103,07/02/2025 12:15:00,ADP Employment Change,HIGH,USD
b6e3934a-c6a1-45bf-accc-03fd34cdaa16,07/03/2025 12:30:00,Average Hourly Earnings (MoM),HIGH,USD
